=== Headless Optimizer ===
Maze: 7x7 | Pop: 30 | Gen: 100
Coins: 10 | Traps: 6 | Mutation: 15%
Smart placement: ON | Enhanced fitness: ON | RL: ON

Gen  78/100 | best=666.1 avg=520.1 | dp=350 greedy=-90 regret=440
Gen  79/100 | best=704.0 avg=530.4 | dp=350 greedy=-120 regret=470
Gen  80/100 | best=708.8 avg=533.0 | dp=380 greedy=-90 regret=470
Gen  81/100 | best=696.6 avg=527.0 | dp=320 greedy=-130 regret=450
Gen  82/100 | best=635.1 avg=535.6 | dp=350 greedy=-50 regret=400
Gen  83/100 | best=698.6 avg=547.1 | dp=320 greedy=-120 regret=440
Gen  84/100 | best=713.6 avg=532.4 | dp=350 greedy=-120 regret=470
Gen  85/100 | best=724.1 avg=514.8 | dp=440 greedy=-10 regret=450
Gen  86/100 | best=658.7 avg=532.6 | dp=410 greedy=-10 regret=420
Gen  87/100 | best=675.2 avg=541.5 | dp=350 greedy=-100 regret=450
Gen  88/100 | best=637.7 avg=501.1 | dp=380 greedy=-40 regret=420
Gen  89/100 | best=663.1 avg=507.7 | dp=350 greedy=-90 regret=440
Gen  90/100 | best=637.7 avg=536.7 | dp=350 greedy=-70 regret=420
Gen  91/100 | best=658.6 avg=533.8 | dp=380 greedy=-20 regret=400
Gen  92/100 | best=714.9 avg=564.6 | dp=410 greedy=-40 regret=450
Gen  93/100 | best=674.1 avg=545.3 | dp=380 greedy=-70 regret=450
Gen  94/100 | best=684.0 avg=538.4 | dp=380 greedy=-60 regret=440
Gen  95/100 | best=685.3 avg=537.6 | dp=380 greedy=-70 regret=450
Gen  96/100 | best=709.6 avg=538.1 | dp=380 greedy=-60 regret=440
Gen  97/100 | best=659.1 avg=531.9 | dp=360 greedy=-60 regret=420
Gen  98/100 | best=622.1 avg=525.3 | dp=350 greedy=-70 regret=420
Gen  99/100 | best=613.3 avg=502.9 | dp=420 greedy=20 regret=400
Gen 100/100 | best=650.1 avg=511.8 | dp=380 greedy=-40 regret=420

=== Result ===
DP optimal: 380
Greedy worst: -90
Regret: 470
Topo difficulty: 1.15918
Final fitness: 742.408
Valid: YES
Saved: optimizer_result.json
